frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,55,87.2769,86180,0.015350996,0.019000000,3.649004,1,87.276881,5.000000,14,0,18,0.757,2
2,55,88.090,86180,0.026924897,0.032000000,5.075103,0,1016.684637,5.000000,14,0,18,0.952,3
3,55,88.505,86180,0.036575552,0.041000000,4.424448,1,88.505391,5.000000,14,0,18,1.003,4
4,55,86.837,86180,0.045693744,0.051500000,5.806256,0,1016.684637,5.000000,14,0,18,0.992,3
5,55,88.481,86180,0.054230367,0.059500000,5.269633,0,1016.684637,5.000000,14,0,18,0.923,4
6,55,85.508,86180,0.062509588,0.066500000,3.990412,1,85.508498,5.000000,14,0,18,0.923,3
7,55,86.927,86180,0.069717357,0.073000000,3.282643,1,86.926972,5.000000,14,0,18,0.758,2
8,55,83.358,86180,0.080663512,0.086500000,5.836488,0,1016.684637,5.000000,14,0,18,0.952,4
9,55,87.275,86180,0.088287497,0.093500000,5.212503,0,1016.684637,5.000000,14,0,18,1.004,4
10,55,86.538,86180,0.099081292,0.106000000,6.918708,0,1016.684637,5.000000,14,0,18,0.955,4
11,55,89.255,86180,0.108505953,0.115000000,6.494047,0,1016.684637,5.000000,14,0,18,0.849,5
12,55,86.951,86180,0.117481078,0.122000000,4.518922,1,86.950592,5.000000,14,0,18,0.886,4
13,55,87.890,86180,0.125605418,0.132500000,6.894582,0,1016.684637,5.000000,14,0,18,0.757,5
14,55,86.324,86180,0.133125241,0.136500000,3.374759,1,86.323520,5.000000,14,0,18,0.446,4
15,55,86.763,86180,0.141641404,0.145500000,3.858596,1,86.762637,5.000000,14,0,18,0.992,4
16,55,86.741,86180,0.150107058,0.153500000,3.392942,1,86.740753,5.000000,14,0,18,0.923,3
17,55,87.400,86180,0.157236308,0.161000000,3.763692,1,87.399533,5.000000,14,0,18,0.001,3
18,55,84.099,86180,0.166988569,0.170500000,3.511431,1,84.098749,5.000000,14,0,18,0.083,3
19,55,84.345,86180,0.176899896,0.180000000,3.100104,1,84.344599,5.000000,14,0,18,0.003,4
20,55,80.918,86180,0.184076882,0.188000000,3.923118,1,80.917533,5.000000,14,0,18,0.822,4
21,55,80.295,86180,0.194291037,0.197500000,3.208963,1,80.294540,5.000000,14,0,18,0.922,3
22,55,81.997,86180,0.202684222,0.208500000,5.815778,0,1016.684637,5.000000,14,0,18,0.960,5
23,55,85.548,86180,0.210985890,0.218000000,7.014110,0,1016.684637,5.000000,14,0,18,0.816,5
24,55,85.311,86180,0.219718695,0.224500000,4.781305,1,85.310751,5.000000,14,0,18,0.890,5
25,55,85.935,86180,0.227373774,0.230500000,3.126226,1,85.934690,5.000000,14,0,18,0.816,3
26,55,85.773,86180,0.236389235,0.239500000,3.110765,1,85.773137,5.000000,14,0,18,0.890,3
27,55,89.007,86180,0.248052861,0.252500000,4.447139,1,89.007488,5.000000,14,0,18,0.890,5
28,55,88.821,86180,0.259124997,0.262500000,3.375003,1,88.821334,5.000000,14,0,18,0.923,5
29,55,91.162,86180,0.267455354,0.271500000,4.044646,1,91.161610,5.000000,14,0,18,1.004,4
30,55,90.765,86180,0.275317013,0.278500000,3.182987,1,90.765111,5.000000,14,0,18,0.816,4
31,55,92.552,86180,0.284551451,0.288000000,3.448549,1,92.551948,5.000000,14,0,18,0.664,3
32,55,90.038,86180,0.291970677,0.295000000,3.029323,1,90.037867,5.000000,14,0,18,0.816,5
33,55,93.457,86180,0.301022376,0.311500000,10.477624,0,1016.684637,5.000000,14,0,18,0.974,4
34,55,92.511,86180,0.309134066,0.315500000,6.365934,0,1016.684637,5.000000,14,0,18,0.923,5
35,55,92.973,86180,0.318722344,0.323500000,4.777656,1,92.972784,5.000000,14,0,18,0.923,4
36,55,90.144,86180,0.328250753,0.334000000,5.749247,0,1016.684637,5.000000,14,0,18,0.890,4
37,55,90.770,86180,0.336062861,0.340000000,3.937139,1,90.769822,5.000000,14,0,18,0.890,3
38,55,89.400,86180,0.343471976,0.350000000,6.528024,0,1016.684637,5.000000,14,0,18,0.993,5
39,55,87.369,86180,0.351350146,0.356000000,4.649854,1,87.369425,5.000000,14,0,18,0.839,4
40,55,90.092,86180,0.359965988,0.364000000,4.034012,1,90.091669,5.000000,14,0,18,0.927,4
41,55,90.498,86180,0.369644682,0.375000000,5.355318,0,1016.684637,5.000000,14,0,18,0.890,4
42,55,84.888,86180,0.378261425,0.383000000,4.738575,1,84.887526,5.000000,14,0,18,0.002,5
43,55,86.943,86180,0.385649323,0.391000000,5.350677,0,1016.684637,5.000000,14,0,18,0.002,5
44,55,85.053,86180,0.392872322,0.396000000,3.127678,1,85.053458,5.000000,14,0,18,0.952,4
46,55,81.137,86180,0.410448061,0.429000000,18.551939,0,1016.684637,5.000000,14,0,18,0.982,3
47,55,83.427,86180,0.418316316,0.429000000,10.683684,0,1016.684637,5.000000,14,0,18,0.982,3
48,55,79.076,86180,0.425777341,0.431500000,5.722659,0,1016.684637,5.000000,14,0,18,0.981,4
49,55,82.598,86180,0.433868117,0.437500000,3.631883,1,82.597923,5.000000,14,0,18,0.794,3
50,55,80.578,86180,0.443051319,0.447500000,4.448681,1,80.578304,5.000000,14,0,18,0.890,3
51,55,78.818,86180,0.450373847,0.454000000,3.626153,1,78.817521,5.000000,14,0,18,0.806,4
52,55,77.808,86180,0.457776981,0.463000000,5.223019,0,1016.684637,5.000000,14,0,18,1.004,4
53,55,78.670,86180,0.466158621,0.473500000,7.341379,0,1016.684637,5.000000,14,0,18,0.779,3
54,55,73.833,86180,0.473913023,0.478500000,4.586977,1,73.833470,5.000000,14,0,18,0.750,4
55,55,75.580,86180,0.482001837,0.491500000,9.498163,0,1016.684637,5.000000,14,0,18,0.795,4
56,55,75.892,86180,0.490400494,0.494000000,3.599506,1,75.892185,5.000000,14,0,18,0.413,3
57,55,79.863,86180,0.499103205,0.505000000,5.896795,0,1016.684637,5.000000,14,0,18,0.890,3
59,55,79.765,86180,0.516444692,0.546000000,29.555308,0,1016.684637,5.000000,14,0,18,0.014,3
60,55,76.411,86180,0.524290573,0.546000000,21.709427,0,1016.684637,5.000000,14,0,18,0.014,3
61,55,78.737,86180,0.534710358,0.546000000,11.289642,0,1016.684637,5.000000,14,0,18,0.014,3
62,55,77.967,86180,0.543389160,0.548500000,5.110840,0,1016.684637,5.000000,14,0,18,0.974,3
63,55,78.957,86180,0.550716464,0.555500000,4.783536,1,78.956690,5.000000,14,0,18,0.750,3
64,55,82.059,86180,0.558134324,0.562000000,3.865676,1,82.059418,5.000000,14,0,18,0.868,3
65,55,80.224,86180,0.565247725,0.569500000,4.252275,1,80.224427,5.000000,14,0,18,1.004,5
66,55,78.936,86180,0.575450061,0.584500000,9.049939,0,1016.684637,5.000000,14,0,18,0.799,3
67,55,79.187,86180,0.584029758,0.589500000,5.470242,0,1016.684637,5.000000,14,0,18,0.868,3
68,55,76.293,86180,0.591291519,0.596500000,5.208481,0,1016.684637,5.000000,14,0,18,0.868,3
69,55,77.172,86180,0.599619008,0.605500000,5.880992,0,1016.684637,5.000000,14,0,18,0.750,4
70,55,77.078,86180,0.607241908,0.615500000,8.258092,0,1016.684637,5.000000,14,0,18,0.000,3
71,55,77.780,86180,0.615868430,0.622000000,6.131570,0,1016.684637,5.000000,14,0,18,0.805,3
72,55,74.916,86180,0.625574204,0.632500000,6.925796,0,1016.684637,5.000000,14,0,18,0.512,2
73,55,76.574,86180,0.633045378,0.640500000,7.454622,0,1016.684637,5.000000,14,0,18,0.874,3
74,55,76.836,86180,0.640870082,0.645000000,4.129918,1,76.836277,5.000000,14,0,18,1.001,4
75,55,79.481,86180,0.649777630,0.653500000,3.722370,1,79.481303,5.000000,14,0,18,0.000,4
76,55,75.340,86180,0.658019865,0.662000000,3.980135,1,75.339831,5.000000,14,0,18,0.875,3
77,55,72.847,86180,0.666355553,0.670500000,4.144447,1,72.846978,5.000000,14,0,18,0.002,3
78,55,71.965,86180,0.674874755,0.678500000,3.625245,1,71.965348,5.000000,14,0,18,0.908,4
79,55,75.076,86180,0.686114746,0.693000000,6.885254,0,1016.684637,5.000000,14,0,18,0.993,4
80,55,72.370,86180,0.693792539,0.700000000,6.207461,0,1016.684637,5.000000,14,0,18,0.474,3
82,55,68.558,86180,0.712233391,0.738500000,26.266609,0,1016.684637,5.000000,11,0,18,0.784,3
83,55,73.631,86180,0.722975399,0.738500000,15.524601,0,1016.684637,5.000000,11,0,18,0.784,3
84,55,70.037,86180,0.734289904,0.743500000,9.210096,0,1016.684637,5.000000,11,0,18,0.901,4
86,55,69.214,86180,0.754709898,0.783500000,28.790102,0,1016.684637,5.000000,11,49217,18,0.783,3
87,55,73.783,86180,0.763040213,0.783500000,20.459787,0,1016.684637,5.000000,11,49217,18,0.783,3
88,55,70.381,86180,0.770365767,0.785500000,15.134233,0,1016.684637,5.000000,11,49217,18,0.406,2
93,55,67.811,86180,0.812026491,0.842000000,29.973509,0,1016.684637,5.000000,11,0,18,0.784,4
96,55,61.965,86180,0.837342640,0.859500000,22.157360,0,1016.684637,5.000000,11,0,18,0.783,4
97,55,64.131,86180,0.846485025,0.859500000,13.014975,0,1016.684637,5.000000,11,0,18,0.783,4
98,55,61.902,86180,0.854146261,0.865000000,10.853739,0,1016.684637,5.000000,11,0,18,0.930,3
99,55,65.098,86180,0.862194920,0.871500000,9.305080,0,1016.684637,5.000000,11,0,18,0.000,4
100,55,64.467,86180,0.871516437,0.880000000,8.483563,0,1016.684637,5.000000,11,0,18,0.883,4
103,55,67.126,86180,0.899130458,0.926000000,26.869542,0,1016.684637,5.000000,14,0,18,0.735,3
104,55,64.465,86180,0.907114112,0.926000000,18.885888,0,1016.684637,5.000000,14,0,18,0.735,3
105,55,64.460,86180,0.915917218,0.926000000,10.082782,0,1016.684637,5.000000,14,0,18,0.735,3
106,55,62.454,86180,0.923305549,0.926500000,3.194451,1,62.454227,5.000000,14,0,18,0.735,3
107,55,61.772,86180,0.931001431,0.934500000,3.498569,1,61.772132,5.000000,14,0,18,0.758,4
108,55,58.161,86180,0.939309605,0.943500000,4.190395,1,58.160608,5.000000,14,0,18,0.985,4
109,55,58.758,86180,0.947560075,0.954000000,6.439925,0,1016.684637,5.000000,14,0,18,0.735,3
110,55,54.591,86180,0.958148708,0.964500000,6.351292,0,1016.684637,5.000000,14,0,18,1.000,4
111,55,54.864,86180,0.965745756,0.970500000,4.754244,1,54.864299,5.000000,14,0,18,1.004,5
112,55,54.032,86180,0.973635772,0.979000000,5.364228,0,1016.684637,5.000000,14,0,18,0.960,5
113,55,53.017,86180,0.981944782,0.987000000,5.055218,0,1016.684637,5.000000,14,0,18,0.714,4
114,55,54.385,86180,0.989932173,0.994500000,4.567827,1,54.385264,5.000000,14,0,18,0.725,3
115,55,51.974,86180,0.997172113,1.005500000,8.327887,0,1016.684637,5.000000,14,0,18,0.996,4
117,55,53.995,86180,1.013196836,1.041000000,27.803164,0,1016.684637,5.000000,14,0,18,0.901,4
118,55,53.645,86180,1.022117242,1.041000000,18.882758,0,1016.684637,5.000000,14,0,18,0.901,4
119,55,55.234,86180,1.029454495,1.041000000,11.545505,0,1016.684637,5.000000,14,0,18,0.901,4
120,55,54.786,86180,1.037393603,1.041000000,3.606397,1,54.785659,5.000000,14,0,18,0.901,4
121,55,59.395,86180,1.045919599,1.049500000,3.580401,1,59.395044,5.000000,14,0,18,0.717,3
122,55,55.755,86180,1.054230050,1.058500000,4.269950,1,55.754863,5.000000,14,0,18,1.003,4
123,55,55.614,86180,1.063909413,1.070000000,6.090587,0,1016.684637,5.000000,14,0,18,1.003,5
124,55,55.360,86180,1.073427849,1.077500000,4.072151,1,55.359743,5.000000,14,0,18,0.945,4
125,55,58.784,86180,1.083105618,1.087000000,3.894382,1,58.784141,5.000000,14,0,18,0.809,4
126,55,58.134,86180,1.094906554,1.098500000,3.593446,1,58.134208,5.000000,14,0,18,1.004,4
127,55,59.000,86180,1.102434052,1.108000000,5.565948,0,1016.684637,5.000000,14,0,18,1.003,4
128,55,59.047,86180,1.111434765,1.117000000,5.565235,0,1016.684637,5.000000,14,0,18,1.004,5
129,55,61.753,86180,1.120575386,1.124500000,3.924614,1,61.753211,5.000000,14,0,18,1.000,4
130,55,63.492,86180,1.129128033,1.133000000,3.871967,1,63.492361,5.000000,14,0,18,1.004,4
131,55,66.949,86180,1.139142320,1.143500000,4.357680,1,66.948679,5.000000,14,0,18,0.729,4
132,55,66.305,86180,1.147269615,1.151000000,3.730385,1,66.305119,5.000000,14,0,18,0.732,4
133,55,66.009,86180,1.155835700,1.159000000,3.164300,1,66.008879,5.000000,14,0,18,0.908,4
134,55,65.788,86180,1.164159982,1.167500000,3.340018,1,65.788082,5.000000,14,0,18,1.004,4
135,55,68.145,86180,1.176479600,1.182000000,5.520400,0,1016.684637,5.000000,14,0,18,1.004,5
