frame,components,mse,size_bytes,error_at_k80,error_ratio
1,5,1006.4472707167972,8540,33.04271239589739,30.45897862918053
1,10,573.7146122699927,16304,33.04271239589739,30.45897862918053
1,15,398.0139504805093,24067,33.04271239589739,30.45897862918053
1,20,293.3862509780039,31832,33.04271239589739,30.45897862918053
1,25,225.57203164017804,39596,33.04271239589739,30.45897862918053
1,30,179.8265873929487,47360,33.04271239589739,30.45897862918053
1,35,146.42749062971816,55124,33.04271239589739,30.45897862918053
1,40,121.7577074213824,62888,33.04271239589739,30.45897862918053
1,45,101.89700521931049,70652,33.04271239589739,30.45897862918053
1,50,85.65718876277144,78416,33.04271239589739,30.45897862918053
1,55,72.49361719299502,86180,33.04271239589739,30.45897862918053
1,60,61.62458113021552,93944,33.04271239589739,30.45897862918053
1,65,52.631520871111945,101708,33.04271239589739,30.45897862918053
1,70,45.045899043242855,109472,33.04271239589739,30.45897862918053
1,75,38.571618847804,117236,33.04271239589739,30.45897862918053
1,80,33.04271239589739,125000,33.04271239589739,30.45897862918053
2,5,992.3677710041204,8540,31.91980339100432,31.089407376606548
2,10,566.8253602705742,16304,31.91980339100432,31.089407376606548
2,15,391.4082892713297,24067,31.91980339100432,31.089407376606548
2,20,288.2951929742404,31832,31.91980339100432,31.089407376606548
2,25,221.99081405356296,39596,31.91980339100432,31.089407376606548
2,30,176.78424252155517,47360,31.91980339100432,31.089407376606548
2,35,144.0799678643945,55124,31.91980339100432,31.089407376606548
2,40,119.0279428659915,62888,31.91980339100432,31.089407376606548
2,45,99.015385456329,70652,31.91980339100432,31.089407376606548
2,50,82.87393123265045,78416,31.91980339100432,31.089407376606548
2,55,70.00719578933692,86180,31.91980339100432,31.089407376606548
2,60,59.50242685025415,93944,31.91980339100432,31.089407376606548
2,65,50.75938113079075,101708,31.91980339100432,31.089407376606548
2,70,43.45240093995184,109472,31.91980339100432,31.089407376606548
2,75,37.24988632175034,117236,31.91980339100432,31.089407376606548
2,80,31.91980339100432,125000,31.91980339100432,31.089407376606548
3,5,975.5207340726256,8540,31.756125377799293,30.719135992409583
3,10,562.1477773447979,16304,31.756125377799293,30.719135992409583
3,15,393.2330644369969,24067,31.756125377799293,30.719135992409583
3,20,290.0644217746645,31832,31.756125377799293,30.719135992409583
3,25,222.5087465663311,39596,31.756125377799293,30.719135992409583
3,30,176.49462768939057,47360,31.756125377799293,30.719135992409583
3,35,144.3013117167593,55124,31.756125377799293,30.719135992409583
3,40,119.35359640764688,62888,31.756125377799293,30.719135992409583
3,45,99.36963718851536,70652,31.756125377799293,30.719135992409583
3,50,83.50117663118117,78416,31.756125377799293,30.719135992409583
3,55,70.40225190448274,86180,31.756125377799293,30.719135992409583
3,60,59.699489575866544,93944,31.756125377799293,30.719135992409583
3,65,50.81194724510959,101708,31.756125377799293,30.719135992409583
3,70,43.45620145607968,109472,31.756125377799293,30.719135992409583
3,75,37.16595698800169,117236,31.756125377799293,30.719135992409583
3,80,31.756125377799293,125000,31.756125377799293,30.719135992409583
4,5,960.8894786131044,8540,30.96172133752157,31.03475637346531
4,10,557.4232707255118,16304,30.96172133752157,31.03475637346531
4,15,387.1996181434252,24067,30.96172133752157,31.03475637346531
4,20,286.6886664996495,31832,30.96172133752157,31.03475637346531
4,25,222.1908757966005,39596,30.96172133752157,31.03475637346531
4,30,176.75971879730972,47360,30.96172133752157,31.03475637346531
4,35,142.9409235492331,55124,30.96172133752157,31.03475637346531
4,40,118.0454206194374,62888,30.96172133752157,31.03475637346531
4,45,98.2357586979876,70652,30.96172133752157,31.03475637346531
4,50,82.0765438250957,78416,30.96172133752157,31.03475637346531
4,55,69.00690401668278,86180,30.96172133752157,31.03475637346531
4,60,58.54487733601516,93944,30.96172133752157,31.03475637346531
4,65,49.716601897739245,101708,30.96172133752157,31.03475637346531
4,70,42.27889479122539,109472,30.96172133752157,31.03475637346531
4,75,36.22868002043803,117236,30.96172133752157,31.03475637346531
4,80,30.96172133752157,125000,30.96172133752157,31.03475637346531
5,5,953.1090779625496,8540,31.8323936314486,29.941483163268373
5,10,558.4783076109001,16304,31.8323936314486,29.941483163268373
5,15,391.6362895150587,24067,31.8323936314486,29.941483163268373
5,20,293.1806663023333,31832,31.8323936314486,29.941483163268373
5,25,227.8791657795125,39596,31.8323936314486,29.941483163268373
5,30,181.59134775019663,47360,31.8323936314486,29.941483163268373
5,35,147.69264428556468,55124,31.8323936314486,29.941483163268373
5,40,121.24391095952062,62888,31.8323936314486,29.941483163268373
5,45,100.85292534457012,70652,31.8323936314486,29.941483163268373
5,50,84.47758016472257,78416,31.8323936314486,29.941483163268373
5,55,71.20980912322115,86180,31.8323936314486,29.941483163268373
5,60,60.25945148940861,93944,31.8323936314486,29.941483163268373
5,65,51.15705724873587,101708,31.8323936314486,29.941483163268373
5,70,43.60803974265111,109472,31.8323936314486,29.941483163268373
5,75,37.25641529276887,117236,31.8323936314486,29.941483163268373
5,80,31.8323936314486,125000,31.8323936314486,29.941483163268373
6,5,936.4689399198832,8540,29.95135253457491,31.26633225791231
6,10,535.9648774298554,16304,29.95135253457491,31.26633225791231
6,15,374.6728955119179,24067,29.95135253457491,31.26633225791231
6,20,279.01661848972907,31832,29.95135253457491,31.26633225791231
6,25,215.9340351443058,39596,29.95135253457491,31.26633225791231
6,30,171.37690718761368,47360,29.95135253457491,31.26633225791231
6,35,139.07008542253115,55124,29.95135253457491,31.26633225791231
6,40,114.56864480178666,62888,29.95135253457491,31.26633225791231
6,45,95.5350103663778,70652,29.95135253457491,31.26633225791231
6,50,80.31819031128146,78416,29.95135253457491,31.26633225791231
6,55,68.03676126360655,86180,29.95135253457491,31.26633225791231
6,60,57.59461767580351,93944,29.95135253457491,31.26633225791231
6,65,48.74085300251222,101708,29.95135253457491,31.26633225791231
6,70,41.27292704026643,109472,29.95135253457491,31.26633225791231
6,75,35.05071649533803,117236,29.95135253457491,31.26633225791231
6,80,29.95135253457491,125000,29.95135253457491,31.26633225791231
7,5,921.2835204063566,8540,29.80068644545499,30.914842250114173
7,10,532.0389626754064,16304,29.80068644545499,30.914842250114173
7,15,372.6129847702709,24067,29.80068644545499,30.914842250114173
7,20,276.5781441756329,31832,29.80068644545499,30.914842250114173
7,25,213.09362158427453,39596,29.80068644545499,30.914842250114173
7,30,169.74094718759522,47360,29.80068644545499,30.914842250114173
7,35,137.62412597291112,55124,29.80068644545499,30.914842250114173
7,40,113.44292326941252,62888,29.80068644545499,30.914842250114173
