frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,45,101.897,70652,0.026011600,0.029500000,3.488400,1,101.897005,5.000000,14,0,18,0.952,5
2,40,119.028,62888,0.039185762,0.042500000,3.314238,1,119.027943,5.000000,14,0,18,0.934,4
3,30,176.495,47360,0.052181235,0.057000000,4.818765,1,176.494628,5.000000,14,0,18,0.875,5
4,30,176.760,47360,0.065745799,0.068500000,2.754201,1,176.759719,5.000000,14,0,18,0.934,5
5,30,181.591,47360,0.078461139,0.082000000,3.538861,1,181.591348,5.000000,14,0,18,0.002,3
6,30,171.377,47360,0.091772969,0.094500000,2.727031,1,171.376907,5.000000,14,0,18,0.981,5
7,30,169.741,47360,0.104659719,0.114000000,9.340281,0,1050.257266,5.000000,14,0,18,0.864,6
8,30,166.035,47360,0.117621054,0.126000000,8.378946,0,1050.257266,5.000000,14,0,18,0.465,4
9,30,166.681,47360,0.130550590,0.133500000,2.949410,1,166.680931,5.000000,14,0,18,0.970,4
10,30,162.092,47360,0.143546299,0.147000000,3.453701,1,162.091511,5.000000,14,0,18,0.824,5
11,30,163.811,47360,0.157562935,0.160500000,2.937065,1,163.811002,5.000000,14,0,18,0.861,2
12,30,164.707,47360,0.170568071,0.175000000,4.431929,1,164.706900,5.000000,14,0,18,0.084,5
13,30,168.211,47360,0.188918039,0.195000000,6.081961,0,1050.257266,5.000000,14,0,18,0.000,3
14,30,161.211,47360,0.202168122,0.210500000,8.331878,0,1050.257266,5.000000,14,0,18,0.989,7
15,30,167.950,47360,0.216900223,0.219500000,2.599777,1,167.949810,5.000000,14,0,18,1.000,6
16,30,167.447,47360,0.233268950,0.236000000,2.731050,1,167.446532,5.000000,14,0,18,0.999,7
17,30,174.237,47360,0.246292493,0.250500000,4.207507,1,174.236937,5.000000,14,0,18,0.564,4
18,30,173.020,47360,0.260560154,0.269500000,8.939846,0,1050.257266,5.000000,14,0,18,0.003,5
19,30,180.913,47360,0.274484891,0.280000000,5.515109,0,1050.257266,5.000000,14,0,18,1.004,6
20,30,180.156,47360,0.287630196,0.291000000,3.369804,1,180.155890,5.000000,14,0,18,1.004,7
21,30,185.622,47360,0.300905696,0.306500000,5.594304,0,1050.257266,5.000000,14,0,18,1.004,8
22,30,180.756,47360,0.315390745,0.319000000,3.609255,1,180.756168,5.000000,14,0,18,0.952,8
23,30,183.994,47360,0.328196591,0.331500000,3.303409,1,183.994057,5.000000,14,0,18,0.865,8
24,30,184.834,47360,0.341677851,0.345000000,3.322149,1,184.833846,5.000000,14,0,18,0.766,6
25,30,187.691,47360,0.358137769,0.362000000,3.862231,1,187.691495,5.000000,14,0,18,0.453,7
26,30,181.551,47360,0.370851378,0.373500000,2.648622,1,181.551259,5.000000,14,0,18,1.003,7
27,30,184.485,47360,0.386262760,0.389500000,3.237240,1,184.485443,5.000000,14,0,18,0.912,6
28,30,183.865,47360,0.400344816,0.406000000,5.655184,0,1050.257266,5.000000,14,0,18,1.004,9
29,30,193.357,47360,0.413705593,0.417500000,3.794407,1,193.357485,5.000000,14,0,18,0.937,6
30,30,190.955,47360,0.426445267,0.430000000,3.554733,1,190.954856,5.000000,14,0,18,0.897,8
31,30,193.204,47360,0.441212935,0.444000000,2.787065,1,193.203811,5.000000,14,0,18,0.763,5
32,30,190.165,47360,0.455755067,0.459000000,3.244933,1,190.165394,5.000000,14,0,18,0.762,6
33,30,191.885,47360,0.469918515,0.472500000,2.581485,1,191.884792,5.000000,14,0,18,0.000,5
34,30,183.527,47360,0.483359049,0.486500000,3.140951,1,183.526838,5.000000,14,0,18,0.838,6
35,30,192.469,47360,0.498318734,0.501000000,2.681266,1,192.468543,5.000000,14,0,18,0.956,8
36,30,187.327,47360,0.511426960,0.517000000,5.573040,0,1050.257266,5.000000,14,0,18,0.974,8
37,30,195.809,47360,0.525270543,0.529000000,3.729457,1,195.808775,5.000000,14,0,18,0.978,8
38,30,189.464,47360,0.538274004,0.541500000,3.225996,1,189.464151,5.000000,14,0,18,0.882,6
39,30,190.895,47360,0.552295238,0.557000000,4.704762,1,190.895063,5.000000,14,0,18,0.842,6
40,30,184.601,47360,0.568333220,0.573500000,5.166780,0,1050.257266,5.000000,14,0,18,0.425,7
41,30,189.608,47360,0.583847943,0.586500000,2.652057,1,189.607979,5.000000,14,0,18,0.736,5
42,30,184.957,47360,0.598030177,0.607500000,9.469823,0,1050.257266,5.000000,14,0,18,1.002,6
43,30,185.763,47360,0.612744753,0.615500000,2.755247,1,185.762850,5.000000,14,0,18,0.926,6
44,30,189.127,47360,0.625780744,0.630500000,4.719256,1,189.126687,5.000000,14,0,18,0.989,6
45,30,187.024,47360,0.639239081,0.642500000,3.260919,1,187.023720,5.000000,14,0,18,0.736,4
46,30,179.620,47360,0.654322025,0.657000000,2.677975,1,179.619683,5.000000,14,0,18,0.992,6
47,30,184.846,47360,0.669407234,0.672500000,3.092766,1,184.846142,5.000000,14,0,18,0.919,7
48,30,181.240,47360,0.684877325,0.688000000,3.122675,1,181.240130,5.000000,14,0,18,0.813,7
49,30,185.778,47360,0.699532936,0.705500000,5.967064,0,1050.257266,5.000000,14,0,18,0.736,5
50,30,188.672,47360,0.713638534,0.717000000,3.361466,1,188.672251,5.000000,14,0,18,0.875,7
51,30,191.783,47360,0.727369316,0.730000000,2.630684,1,191.782967,5.000000,14,0,18,0.883,5
52,30,196.375,47360,0.740639787,0.743500000,2.860213,1,196.374971,5.000000,14,0,18,1.001,5
53,30,191.796,47360,0.755134668,0.758500000,3.365332,1,191.795638,5.000000,14,0,18,0.952,7
54,30,190.996,47360,0.771151272,0.774500000,3.348728,1,190.995596,5.000000,14,0,18,0.809,6
55,30,188.203,47360,0.786086410,0.789500000,3.413590,1,188.202663,5.000000,14,0,18,0.809,6
56,30,190.754,47360,0.801131398,0.809500000,8.368602,0,1050.257266,5.000000,14,0,18,1.004,7
57,30,193.045,47360,0.816618681,0.820000000,3.381319,1,193.044541,5.000000,14,0,18,0.952,8
58,30,193.312,47360,0.829513739,0.833500000,3.986261,1,193.311772,5.000000,14,0,18,0.945,5
59,30,198.590,47360,0.842624665,0.846500000,3.875335,1,198.589758,5.000000,14,0,18,0.897,9
60,30,193.152,47360,0.857288997,0.860500000,3.211003,1,193.151618,5.000000,14,0,18,0.725,6
61,30,197.247,47360,0.872118219,0.876000000,3.881781,1,197.247222,5.000000,14,0,18,0.886,6
62,30,197.394,47360,0.887685881,0.892500000,4.814119,1,197.394014,5.000000,14,0,18,0.985,7
63,30,196.211,47360,0.901560801,0.904500000,2.939199,1,196.210867,5.000000,14,0,18,0.875,6
64,30,185.491,47360,0.914845824,0.919000000,4.154176,1,185.491171,5.000000,14,0,18,0.747,7
65,30,179.095,47360,0.930893602,0.933500000,2.606398,1,179.095152,5.000000,14,0,18,0.912,7
66,30,173.042,47360,0.944433412,0.947000000,2.566588,1,173.041773,5.000000,14,0,18,0.820,7
67,30,174.896,47360,0.959248307,0.964500000,5.251693,0,1050.257266,5.000000,14,0,18,0.828,7
68,30,167.921,47360,0.974908417,0.977500000,2.591583,1,167.921198,5.000000,14,0,18,0.996,7
69,30,168.611,47360,0.987728510,0.990500000,2.771490,1,168.611203,5.000000,14,0,18,0.725,5
70,30,170.782,47360,1.001403098,1.004000000,2.596902,1,170.781957,5.000000,14,0,18,0.725,5
71,30,175.762,47360,1.014599607,1.018000000,3.400393,1,175.762048,5.000000,14,0,18,0.996,10
72,30,169.059,47360,1.029567469,1.032500000,2.932531,1,169.058807,5.000000,14,0,18,0.839,7
73,30,168.859,47360,1.043930068,1.046500000,2.569932,1,168.859006,5.000000,14,0,18,0.253,7
74,30,170.070,47360,1.060502644,1.063500000,2.997356,1,170.070171,5.000000,14,0,18,0.849,8
