frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
1,20,293.386,31832,0.017133605,0.019500000,2.366395,1,293.386251,5.000000,14,0,18,0.000,1
2,20,288.295,31832,0.030423848,0.032500000,2.076152,1,288.295193,5.000000,14,0,18,0.978,5
3,20,290.064,31832,0.041432956,0.043500000,2.067044,1,290.064422,5.000000,14,0,18,0.003,4
4,20,286.689,31832,0.051335897,0.053500000,2.164103,1,286.688666,5.000000,14,0,18,0.934,3
5,20,293.181,31832,0.063480216,0.066000000,2.519784,1,293.180666,5.000000,14,0,18,0.861,4
6,20,279.017,31832,0.076494075,0.079000000,2.505925,1,279.016618,5.000000,14,0,18,0.183,4
7,20,276.578,31832,0.091949898,0.094000000,2.050102,1,276.578144,5.000000,14,0,18,0.696,4
8,20,271.331,31832,0.103508527,0.109000000,5.491473,0,1050.257266,5.000000,14,0,18,0.997,6
9,20,272.966,31832,0.115825813,0.118000000,2.174187,1,272.966377,5.000000,14,0,18,0.000,2
10,20,267.007,31832,0.126795979,0.129000000,2.204021,1,267.007254,5.000000,14,0,18,0.002,4
11,20,268.307,31832,0.137794199,0.140000000,2.205801,1,268.307462,5.000000,14,0,18,0.938,5
12,20,271.230,31832,0.149571834,0.152000000,2.428166,1,271.229787,5.000000,14,0,18,0.864,3
13,20,277.030,31832,0.162844049,0.165500000,2.655951,1,277.030291,5.000000,14,0,18,0.812,5
14,20,268.989,31832,0.174039180,0.176500000,2.460820,1,268.988959,5.000000,14,0,18,0.861,2
15,20,274.683,31832,0.184171731,0.186500000,2.328269,1,274.683081,5.000000,14,0,18,0.475,3
16,20,273.167,31832,0.195851851,0.198000000,2.148149,1,273.166632,5.000000,14,0,18,0.817,4
17,20,281.391,31832,0.208198142,0.216000000,7.801858,0,1050.257266,5.000000,14,0,18,0.842,4
18,20,283.417,31832,0.220793702,0.223500000,2.706298,1,283.416823,5.000000,14,0,18,0.706,4
19,20,292.784,31832,0.231855508,0.237000000,5.144492,0,1050.257266,5.000000,14,0,18,0.000,4
20,20,292.581,31832,0.242607123,0.246500000,3.892877,1,292.581045,5.000000,14,0,18,0.000,3
21,20,297.696,31832,0.252878167,0.255500000,2.621833,1,297.695533,5.000000,14,0,18,0.002,4
