user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
0,invincible,model,adaptive,1518.76,0.799,5.07903,1000,886,87,114,0.886,0.114,114,0,summary
1,invincible,model,adaptive,3388.01,0.441,9.84308,1000,868,427,132,0.868,0.132,131,1,summary
2,invincible,model,adaptive,2864.04,0.543,9.58081,1000,865,322,135,0.865,0.135,133,2,summary
3,invincible,model,adaptive,1868.49,0.737,7.08323,1000,882,145,118,0.882,0.118,118,0,summary
4,invincible,model,adaptive,2840.86,0.552,10.2566,1000,880,328,120,0.88,0.12,120,0,summary
0,invincible,static,5,2071.62,0.865,2.36073,1000,890,25,110,0.89,0.11,110,0,summary
1,invincible,static,5,2985.16,0.649,3.27592,1000,890,241,110,0.89,0.11,110,0,summary
2,invincible,static,5,2798.18,0.697,6.08193,1000,881,184,119,0.881,0.119,119,0,summary
3,invincible,static,5,2163.35,0.846,2.43224,1000,890,44,110,0.89,0.11,110,0,summary
4,invincible,static,5,2838.14,0.686,3.1243,1000,890,204,110,0.89,0.11,110,0,summary
0,invincible,static,10,1474.22,0.864,2.3834,1000,890,26,110,0.89,0.11,110,0,summary
1,invincible,static,10,2980.59,0.561,4.55366,1000,889,328,111,0.889,0.111,111,0,summary
2,invincible,static,10,2413.73,0.677,3.19311,1000,890,213,110,0.89,0.11,110,0,summary
3,invincible,static,10,1801.55,0.802,2.61595,1000,890,88,110,0.89,0.11,110,0,summary
4,invincible,static,10,2395.78,0.676,3.20576,1000,890,214,110,0.89,0.11,110,0,summary
0,invincible,static,15,1327.61,0.857,2.43255,1000,890,33,110,0.89,0.11,110,0,summary
1,invincible,static,15,2924.46,0.545,7.59246,1000,884,339,116,0.884,0.116,116,0,summary
2,invincible,static,15,2528.45,0.625,4.88637,1000,885,260,115,0.885,0.115,115,0,summary
3,invincible,static,15,1661.94,0.792,2.70078,1000,890,98,110,0.89,0.11,110,0,summary
4,invincible,static,15,2506.65,0.633,4.85864,1000,887,254,113,0.887,0.113,113,0,summary
0,invincible,static,20,1278.33,0.854,2.46512,1000,890,36,110,0.89,0.11,110,0,summary
1,invincible,static,20,2792.42,0.566,6.95402,1000,884,318,116,0.884,0.116,116,0,summary
2,invincible,static,20,2672.86,0.589,6.60646,1000,882,293,118,0.882,0.118,118,0,summary
3,invincible,static,20,1679.31,0.777,3.08777,1000,889,112,111,0.889,0.111,111,0,summary
4,invincible,static,20,2751.61,0.567,10.6015,1000,877,310,123,0.877,0.123,123,0,summary
0,invincible,static,25,1480.77,0.811,5.19416,1000,887,76,113,0.887,0.113,113,0,summary
1,invincible,static,25,3389.19,0.445,10.354,1000,881,436,119,0.881,0.119,119,0,summary
2,invincible,static,25,2928.63,0.532,10.8331,1000,875,343,125,0.875,0.125,125,0,summary
3,invincible,static,25,1881.14,0.734,7.10857,1000,884,150,116,0.884,0.116,116,0,summary
4,invincible,static,25,3028.79,0.513,8.63825,1000,878,365,122,0.878,0.122,122,0,summary
0,invincible,static,30,1703.87,0.765,6.36643,1000,883,118,117,0.883,0.117,117,0,summary
1,invincible,static,30,2855.98,0.553,10.1885,1000,879,326,121,0.879,0.121,121,0,summary
2,invincible,static,30,3079.4,0.505,10.5564,1000,875,370,125,0.875,0.125,125,0,summary
3,invincible,static,30,1900.61,0.725,7.21964,1000,883,158,117,0.883,0.117,117,0,summary
4,invincible,static,30,2581.9,0.595,7.18659,1000,882,287,118,0.882,0.118,118,0,summary
0,invincible,static,35,1487.42,0.802,5.03438,1000,888,86,112,0.888,0.112,112,0,summary
1,invincible,static,35,3678.64,0.395,13.1183,1000,830,435,170,0.83,0.17,170,0,summary
2,invincible,static,35,3331.64,0.452,11.5883,1000,834,382,166,0.834,0.166,166,0,summary
3,invincible,static,35,1510.56,0.797,3.61337,1000,889,92,111,0.889,0.111,111,0,summary
4,invincible,static,35,3326.48,0.456,10.5566,1000,820,364,180,0.82,0.18,180,0,summary
0,invincible,static,40,1622.04,0.771,5.86945,1000,882,111,118,0.882,0.118,110,8,summary
1,invincible,static,40,3716.85,0.381,11.5183,1000,865,484,135,0.865,0.135,115,20,summary
2,invincible,static,40,3404.51,0.44,10.8264,1000,851,411,149,0.851,0.149,129,20,summary
3,invincible,static,40,1966.47,0.708,8.01971,1000,883,175,117,0.883,0.117,110,7,summary
4,invincible,static,40,3157.24,0.488,8.56106,1000,872,384,128,0.872,0.128,112,16,summary
0,invincible,static,45,1362.82,0.819,4.37084,1000,887,68,113,0.887,0.113,110,3,summary
1,invincible,static,45,3599.98,0.404,11.0533,1000,844,440,156,0.844,0.156,139,17,summary
2,invincible,static,45,3301.15,0.457,7.39349,1000,849,392,151,0.849,0.151,137,14,summary
3,invincible,static,45,1983.18,0.705,5.92423,1000,883,178,117,0.883,0.117,112,5,summary
4,invincible,static,45,3779.16,0.367,10.2216,1000,783,416,217,0.783,0.217,177,40,summary
0,invincible,static,50,1533.87,0.786,4.60088,1000,884,98,116,0.884,0.116,114,2,summary
1,invincible,static,50,3977.49,0.333,9.24153,1000,818,485,182,0.818,0.182,144,38,summary
2,invincible,static,50,3401.46,0.441,8.02157,1000,863,422,137,0.863,0.137,125,12,summary
3,invincible,static,50,1936.54,0.712,5.75422,1000,879,167,121,0.879,0.121,117,4,summary
4,invincible,static,50,3607.78,0.4,8.54206,1000,852,452,148,0.852,0.148,124,24,summary
0,invincible,static,55,1753.78,0.744,5.00115,1000,882,138,118,0.882,0.118,118,0,summary
1,invincible,static,55,4182.33,0.294,9.64994,1000,810,516,190,0.81,0.19,165,25,summary
2,invincible,static,55,3777.88,0.37,9.62773,1000,784,414,216,0.784,0.216,178,38,summary
3,invincible,static,55,2288.63,0.645,6.48874,1000,871,226,129,0.871,0.129,118,11,summary
