frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
0,45,6.47319,70955,0.019911383,0.026500000,6.588617,0,5764.034345,5.000000,11,0,18,0.000,1
1,25,13.562,40085,0.035979404,0.039500000,3.520596,1,13.561845,5.000000,11,0,18,0.000,1
2,40,7.193,63245,0.049766289,0.053500000,3.733711,1,7.192681,5.000000,11,0,18,0.879,2
3,15,29.687,24636,0.062447008,0.065000000,2.552992,1,29.686862,5.000000,11,0,18,0.000,2
4,15,29.688,24636,0.077369105,0.080000000,2.630895,1,29.688165,5.000000,11,0,18,0.645,2
5,15,29.688,24636,0.093160742,0.098500000,5.339258,0,5764.034345,5.000000,11,0,18,0.000,2
6,15,29.688,24636,0.111394342,0.122500000,11.105658,0,5764.034345,5.000000,11,0,18,0.940,3
7,15,29.688,24636,0.125730749,0.128500000,2.769251,1,29.687734,5.000000,11,0,18,0.740,1
9,10,69.351,16926,0.140825813,0.143000000,2.174187,1,69.350906,5.000000,11,0,18,0.000,1
10,15,29.687,24636,0.154573757,0.160000000,5.426243,0,5764.034345,5.000000,11,0,18,0.000,2
11,15,29.687,24636,0.168349754,0.171000000,2.650246,1,29.686832,5.000000,11,0,18,0.001,1
12,10,69.353,16926,0.182905167,0.191000000,8.094833,0,5764.034345,5.000000,11,0,18,0.740,3
13,15,29.687,24636,0.198955160,0.204500000,5.544840,0,5764.034345,5.000000,11,0,18,0.001,2
16,15,29.674,24636,0.212928069,0.215000000,2.071931,1,29.674338,5.000000,14,0,18,0.000,2
17,10,69.356,16926,0.225838398,0.228000000,2.161602,1,69.356066,5.000000,14,0,18,0.002,1
18,15,29.678,24636,0.240296296,0.242500000,2.203704,1,29.678303,5.000000,14,0,18,0.000,1
19,15,29.679,24636,0.255420364,0.263500000,8.079636,0,5764.034345,5.000000,14,0,18,0.645,2
20,15,29.679,24636,0.270793702,0.276000000,5.206298,0,5764.034345,5.000000,14,0,18,0.000,2
21,15,29.678,24636,0.284633286,0.287000000,2.366714,1,29.677738,5.000000,14,0,18,0.000,0
22,15,29.678,24636,0.298162679,0.301000000,2.837321,1,29.678429,5.000000,14,0,18,0.002,2
24,15,29.678,24636,0.311211501,0.317000000,5.788499,0,5764.034345,5.000000,13,0,18,0.002,4
25,15,29.679,24636,0.326529485,0.329000000,2.470515,1,29.678669,5.000000,13,0,18,0.003,1
26,15,29.678,24636,0.342497601,0.345500000,3.002399,1,29.678371,5.000000,13,0,18,0.002,2
27,10,69.357,16926,0.356057286,0.358500000,2.442714,1,69.356979,5.000000,13,0,18,0.002,2
28,15,29.679,24636,0.372541611,0.375000000,2.458389,1,29.679050,5.000000,13,0,18,0.000,1
30,10,69.358,16926,0.386651713,0.392000000,5.348287,0,5764.034345,5.000000,13,0,18,0.645,3
31,10,69.358,16926,0.400635688,0.406000000,5.364312,0,5764.034345,5.000000,13,0,18,0.000,2
32,10,69.359,16926,0.414975345,0.417500000,2.524655,1,69.358532,5.000000,13,0,18,0.003,3
34,15,29.687,24636,0.428435620,0.431000000,2.564380,1,29.686802,5.000000,13,0,18,0.001,4
35,15,29.687,24636,0.444638151,0.453000000,8.361849,0,5764.034345,5.000000,13,0,18,0.003,3
36,15,29.687,24636,0.464075586,0.466500000,2.424414,1,29.686631,5.000000,13,0,18,0.740,1
37,10,69.385,16926,0.477414241,0.479500000,2.085759,1,69.384954,5.000000,13,0,18,0.509,2
38,15,29.686,24636,0.491382611,0.494500000,3.117389,1,29.686301,5.000000,13,0,18,0.960,3
39,15,29.686,24636,0.505422539,0.511000000,5.577461,0,5764.034345,5.000000,13,0,18,0.000,2
40,15,29.686,24636,0.521222035,0.523500000,2.277965,1,29.686379,5.000000,13,0,18,0.000,2
41,15,29.686,24636,0.535804785,0.538000000,2.195215,1,29.685748,5.000000,13,0,18,0.542,1
42,15,29.686,24636,0.549684161,0.552500000,2.815839,1,29.685748,5.000000,13,0,18,0.000,3
43,15,29.686,24636,0.565120318,0.570500000,5.379682,0,5764.034345,5.000000,13,0,18,0.645,2
44,15,29.686,24636,0.580818097,0.583000000,2.181903,1,29.685771,5.000000,13,0,18,0.000,0
45,15,29.686,24636,0.594876346,0.600000000,5.123654,0,5764.034345,5.000000,13,0,18,0.003,2
46,15,29.686,24636,0.609645660,0.615000000,5.354340,0,5764.034345,5.000000,14,0,18,0.002,2
47,15,29.686,24636,0.624765227,0.627000000,2.234773,1,29.685769,5.000000,14,0,18,0.000,1
48,15,29.680,24636,0.643989319,0.646500000,2.510681,1,29.680138,5.000000,14,0,18,0.000,1
49,10,69.364,16926,0.660053747,0.662500000,2.446253,1,69.364328,5.000000,14,0,18,1.000,2
50,15,29.680,24636,0.676377671,0.678500000,2.122329,1,29.679723,5.000000,14,0,18,0.000,1
51,15,29.680,24636,0.691758874,0.694000000,2.241126,1,29.679804,5.000000,14,0,18,0.000,0
52,15,29.680,24636,0.704428462,0.709500000,5.071538,0,5764.034345,5.000000,14,0,18,0.002,3
53,15,29.680,24636,0.717497095,0.720500000,3.002905,1,29.679804,5.000000,14,0,18,0.000,3
54,15,29.680,24636,0.732037900,0.734500000,2.462100,1,29.679723,5.000000,14,0,18,0.000,3
55,15,29.681,24636,0.747208417,0.749500000,2.291583,1,29.680586,5.000000,14,0,18,0.000,3
56,15,29.680,24636,0.762266743,0.764500000,2.233257,1,29.679723,5.000000,14,0,18,0.083,1
57,15,29.680,24636,0.775450975,0.780500000,5.049025,0,5764.034345,5.000000,14,0,18,0.000,2
58,15,29.680,24636,0.789089498,0.791500000,2.410502,1,29.679723,5.000000,14,0,18,0.000,2
59,15,29.680,24636,0.802662663,0.808000000,5.337337,0,5764.034345,5.000000,14,0,18,0.000,4
60,15,29.680,24636,0.818217689,0.820500000,2.282311,1,29.679723,5.000000,14,0,18,0.002,3
61,15,29.680,24636,0.831445279,0.833500000,2.054721,1,29.679723,5.000000,14,0,18,0.000,1
62,15,29.680,24636,0.846019301,0.848500000,2.480699,1,29.679723,5.000000,14,0,18,0.000,2
63,15,29.677,24636,0.859090548,0.864500000,5.409452,0,5764.034345,5.000000,14,0,18,0.645,2
64,15,29.676,24636,0.873085910,0.875500000,2.414090,1,29.676468,5.000000,14,0,18,0.002,1
66,15,29.679,24636,0.886382838,0.888500000,2.117162,1,29.679136,5.000000,14,0,18,0.000,0
67,15,29.676,24636,0.902054247,0.910500000,8.445753,0,5764.034345,5.000000,14,0,18,0.000,2
68,15,29.676,24636,0.916035015,0.921500000,5.464985,0,5764.034345,5.000000,14,0,18,0.000,3
69,15,29.676,24636,0.934148871,0.936500000,2.351129,1,29.676342,5.000000,14,0,18,0.740,1
70,15,29.679,24636,0.948212046,0.950500000,2.287954,1,29.679136,5.000000,14,0,18,0.000,1
71,15,29.676,24636,0.962241696,0.967500000,5.258304,0,5764.034345,5.000000,14,0,18,0.000,2
72,15,29.676,24636,0.975628863,0.978000000,2.371137,1,29.676422,5.000000,14,0,18,0.645,2
73,15,29.676,24636,0.990650815,0.993000000,2.349185,1,29.676342,5.000000,14,0,18,0.000,1
74,15,29.679,24636,1.005983215,1.012000000,6.016785,0,5764.034345,5.000000,14,0,18,0.645,3
75,15,29.676,24636,1.022101946,1.024500000,2.398054,1,29.676342,5.000000,14,0,18,0.645,2
76,15,29.676,24636,1.035369111,1.040500000,5.130889,0,5764.034345,5.000000,14,0,18,0.001,3
77,15,29.679,24636,1.050099158,1.052500000,2.400842,1,29.678687,5.000000,14,0,18,0.000,1
78,15,29.676,24636,1.063395448,1.065500000,2.104552,1,29.676389,5.000000,14,0,18,0.000,2
81,15,29.674,24636,1.076906491,1.079000000,2.093509,1,29.673689,5.000000,14,0,18,0.000,2
82,15,29.671,24636,1.089703951,1.092000000,2.296049,1,29.670890,5.000000,14,0,18,0.740,1
83,15,29.671,24636,1.102912884,1.108000000,5.087116,0,5764.034345,5.000000,14,0,18,0.000,2
85,15,29.674,24636,1.116505200,1.119000000,2.494800,1,29.673689,5.000000,13,0,18,0.003,3
