frameNumber,components,mse,sizeBytes,genTime,recvTime,delay_ms,receivedOnTime,effectiveError,deadline_ms,cqi,buffer_bytes,mcs_index,dl_utilization,n_active_ues
0,75,4.22176,117275,0.031273468,0.035500000,4.226532,1,4.221764,5.000000,14,0,18,0.978,3
1,75,4.211,117275,0.045780686,0.049500000,3.719314,1,4.211241,5.000000,14,0,18,0.861,3
2,75,4.214,117275,0.060822199,0.067000000,6.177801,0,5764.034345,5.000000,14,0,18,0.982,3
3,75,4.212,117275,0.076656979,0.082000000,5.343021,0,5764.034345,5.000000,14,0,18,0.952,3
4,75,4.212,117275,0.089385514,0.093000000,3.614486,1,4.211568,5.000000,14,0,18,0.919,3
6,75,4.212,117275,0.117167617,0.150000000,32.832383,0,5764.034345,5.000000,14,0,18,0.923,4
7,75,4.212,117275,0.131835715,0.150000000,18.164285,0,5764.034345,5.000000,14,0,18,0.923,4
9,75,4.213,117275,0.146223608,0.150500000,4.276392,1,4.212584,5.000000,14,0,18,0.923,4
10,75,4.212,117275,0.159803731,0.168000000,8.196269,0,5764.034345,5.000000,14,0,18,0.776,4
11,75,4.212,117275,0.174096340,0.180000000,5.903660,0,5764.034345,5.000000,14,0,18,0.846,5
12,75,4.211,117275,0.189849505,0.194500000,4.650495,1,4.210827,5.000000,14,0,18,0.985,5
13,75,4.213,117275,0.203465706,0.213500000,10.034294,0,5764.034345,5.000000,14,0,18,0.871,5
16,75,4.170,117275,0.218279171,0.226500000,8.220829,0,5764.034345,5.000000,14,0,18,0.647,2
17,75,4.169,117275,0.231082488,0.238500000,7.417512,0,5764.034345,5.000000,14,0,18,0.772,4
18,75,4.169,117275,0.243971272,0.248000000,4.028728,1,4.169190,5.000000,14,0,18,0.647,2
19,75,4.169,117275,0.259704208,0.263500000,3.795792,1,4.168931,5.000000,14,0,18,0.740,2
20,75,4.169,117275,0.273413862,0.277000000,3.586138,1,4.169085,5.000000,14,0,18,0.772,4
21,75,4.168,117275,0.287069437,0.291000000,3.930563,1,4.168127,5.000000,14,0,18,0.960,3
24,75,4.169,117275,0.316309234,0.347000000,30.690766,0,5764.034345,5.000000,14,0,18,0.813,2
25,75,4.169,117275,0.330698766,0.347000000,16.301234,0,5764.034345,5.000000,14,0,18,0.813,2
26,75,4.169,117275,0.344461362,0.352000000,7.538638,0,5764.034345,5.000000,14,0,18,1.003,5
27,75,4.168,117275,0.357341795,0.362000000,4.658205,1,4.168115,5.000000,14,0,18,0.640,3
28,75,4.169,117275,0.370871674,0.374500000,3.628326,1,4.168553,5.000000,14,0,18,0.966,4
30,75,4.169,117275,0.387066638,0.392000000,4.933362,1,4.168553,5.000000,14,0,18,0.963,4
32,75,4.166,117275,0.413719233,0.462000000,48.280767,0,5764.034345,5.000000,12,257010,18,0.952,3
34,75,4.167,117275,0.427910234,0.462000000,34.089766,0,5764.034345,5.000000,12,257010,18,0.952,3
35,75,4.167,117275,0.441624158,0.465500000,23.875842,0,5764.034345,5.000000,12,257010,18,0.864,5
36,75,4.167,117275,0.454701015,0.473500000,18.798985,0,5764.034345,5.000000,12,64188,18,0.806,5
37,75,4.166,117275,0.470344862,0.480500000,10.155138,0,5764.034345,5.000000,12,64188,18,0.941,5
38,75,4.166,117275,0.488442560,0.499500000,11.057440,0,5764.034345,5.000000,12,0,18,0.982,5
40,75,4.167,117275,0.518181093,0.549500000,31.318907,0,5764.034345,5.000000,14,0,18,0.981,3
41,75,4.167,117275,0.531805581,0.549500000,17.694419,0,5764.034345,5.000000,14,0,18,0.981,3
42,75,4.167,117275,0.544973851,0.551000000,6.026149,0,5764.034345,5.000000,14,0,18,0.982,5
43,75,4.167,117275,0.558216037,0.564500000,6.283963,0,5764.034345,5.000000,14,0,18,0.827,3
44,75,4.166,117275,0.573793337,0.582000000,8.206663,0,5764.034345,5.000000,14,0,18,0.982,4
45,75,4.166,117275,0.587563787,0.593500000,5.936213,0,5764.034345,5.000000,14,0,18,1.003,4
51,75,4.169,117275,0.672119179,0.705000000,32.880821,0,5764.034345,5.000000,11,0,18,0.805,2
60,75,4.168,117275,0.805626570,0.852500000,46.873430,0,5764.034345,5.000000,14,0,18,0.894,3
61,75,4.168,117275,0.819879968,0.852500000,32.620032,0,5764.034345,5.000000,14,0,18,0.894,3
62,75,4.168,117275,0.834885543,0.852500000,17.614457,0,5764.034345,5.000000,14,0,18,0.894,3
63,75,4.166,117275,0.850186122,0.854000000,3.813878,1,4.165996,5.000000,14,0,18,0.894,3
64,75,4.164,117275,0.863573883,0.869000000,5.426117,0,5764.034345,5.000000,14,0,18,0.864,3
66,75,4.165,117275,0.878382968,0.882000000,3.617032,1,4.164894,5.000000,14,0,18,0.765,5
67,75,4.164,117275,0.891776187,0.895500000,3.723813,1,4.163785,5.000000,14,0,18,0.157,4
68,75,4.164,117275,0.904659868,0.919500000,14.840132,0,5764.034345,5.000000,13,0,18,0.894,5
69,75,4.164,117275,0.919649450,0.932500000,12.850550,0,5764.034345,5.000000,13,0,18,1.004,6
70,75,4.165,117275,0.933598703,0.948500000,14.901297,0,5764.034345,5.000000,13,0,18,0.838,4
71,75,4.164,117275,0.946633139,0.954500000,7.866861,0,5764.034345,5.000000,13,0,18,0.831,4
72,75,4.164,117275,0.960788970,0.973000000,12.211030,0,5764.034345,5.000000,13,0,18,0.868,5
73,75,4.164,117275,0.973656084,0.979000000,5.343916,0,5764.034345,5.000000,13,0,18,0.831,5
74,75,4.165,117275,0.988286076,0.995000000,6.713924,0,5764.034345,5.000000,13,0,18,0.680,5
75,75,4.164,117275,1.003464278,1.022000000,18.535722,0,5764.034345,5.000000,13,0,18,0.846,4
76,75,4.164,117275,1.018756075,1.035500000,16.743925,0,5764.034345,5.000000,13,0,18,0.890,5
