frame,components,mse,size_bytes,error_at_k80,error_ratio
0,80,838.096227288749,125000,838.096227288749,1.344862220246951
0,75,839.8805161600477,117276,838.096227288749,1.344862220246951
0,70,846.2481886510584,109560,838.096227288749,1.344862220246951
0,65,852.0027754119385,101844,838.096227288749,1.344862220246951
0,60,858.3906797402658,94128,838.096227288749,1.344862220246951
0,55,870.2227751779054,86405,838.096227288749,1.344862220246951
0,50,884.7843321149818,78688,838.096227288749,1.344862220246951
0,45,887.0225209815178,70972,838.096227288749,1.344862220246951
0,40,903.216408601092,63256,838.096227288749,1.344862220246951
0,35,929.7434503887488,55540,838.096227288749,1.344862220246951
0,30,937.5849306133532,47817,838.096227288749,1.344862220246951
0,25,980.9802223582516,40101,838.096227288749,1.344862220246951
0,20,1026.949536675933,32384,838.096227288749,1.344862220246951
0,15,1055.9627965659934,24668,838.096227288749,1.344862220246951
0,10,1089.62833515168,16945,838.096227288749,1.344862220246951
0,5,1127.1239530121402,9229,838.096227288749,1.344862220246951
1,80,838.5724308255957,125000,838.5724308255957,1.3448741928632235
1,75,840.3612324469343,117276,838.5724308255957,1.3448741928632235
1,70,846.7241256248328,109560,838.5724308255957,1.3448741928632235
1,65,852.4914015266972,101844,838.5724308255957,1.3448741928632235
1,60,858.8997019171537,94128,838.5724308255957,1.3448741928632235
1,55,870.725805618057,86405,838.5724308255957,1.3448741928632235
1,50,885.3243316405833,78688,838.5724308255957,1.3448741928632235
1,45,887.5636692054753,70972,838.5724308255957,1.3448741928632235
1,40,903.7998427443438,63256,838.5724308255957,1.3448741928632235
1,35,930.339834067537,55540,838.5724308255957,1.3448741928632235
1,30,938.2070884549609,47817,838.5724308255957,1.3448741928632235
1,25,981.5523501264108,40101,838.5724308255957,1.3448741928632235
1,20,1027.5236009524665,32384,838.5724308255957,1.3448741928632235
1,15,1056.5295695924517,24668,838.5724308255957,1.3448741928632235
1,10,1090.2265817035002,16945,838.5724308255957,1.3448741928632235
1,5,1127.7744210639246,9229,838.5724308255957,1.3448741928632235
2,80,838.5873346714396,125000,838.5873346714396,1.344865372942608
2,75,840.3761177947388,117276,838.5873346714396,1.344865372942608
2,70,846.7376713208808,109560,838.5873346714396,1.344865372942608
2,65,852.5032915108594,101844,838.5873346714396,1.344865372942608
2,60,858.9113100636456,94128,838.5873346714396,1.344865372942608
2,55,870.7355021931223,86405,838.5873346714396,1.344865372942608
2,50,885.3333616329601,78688,838.5873346714396,1.344865372942608
2,45,887.5720735575521,70972,838.5873346714396,1.344865372942608
2,40,903.8059115967684,63256,838.5873346714396,1.344865372942608
2,35,930.3462587685624,55540,838.5873346714396,1.344865372942608
2,30,938.213896227901,47817,838.5873346714396,1.344865372942608
2,25,981.561792194876,40101,838.5873346714396,1.344865372942608
2,20,1027.5355621375322,32384,838.5873346714396,1.344865372942608
2,15,1056.5395232868452,24668,838.5873346714396,1.344865372942608
2,10,1090.230305768394,16945,838.5873346714396,1.344865372942608
2,5,1127.7870685878534,9229,838.5873346714396,1.344865372942608
3,80,838.5899158720722,125000,838.5899158720722,1.3448639283511563
3,75,840.3785957447867,117276,838.5899158720722,1.3448639283511563
3,70,846.7399460501513,109560,838.5899158720722,1.3448639283511563
3,65,852.505637833638,101844,838.5899158720722,1.3448639283511563
3,60,858.9136792635923,94128,838.5899158720722,1.3448639283511563
3,55,870.738092585553,86405,838.5899158720722,1.3448639283511563
3,50,885.3357257252231,78688,838.5899158720722,1.3448639283511563
3,45,887.5745545384741,70972,838.5899158720722,1.3448639283511563
3,40,903.8086137764448,63256,838.5899158720722,1.3448639283511563
3,35,930.3486548014164,55540,838.5899158720722,1.3448639283511563
3,30,938.2162248401316,47817,838.5899158720722,1.3448639283511563
3,25,981.564006051286,40101,838.5899158720722,1.3448639283511563
3,20,1027.5375948482908,32384,838.5899158720722,1.3448639283511563
3,15,1056.5415729234412,24668,838.5899158720722,1.3448639283511563
3,10,1090.2327334184583,16945,838.5899158720722,1.3448639283511563
3,5,1127.789328535381,9229,838.5899158720722,1.3448639283511563
4,80,838.5855512703147,125000,838.5855512703147,1.3448640459148429
4,75,840.3743069075905,117276,838.5855512703147,1.3448640459148429
4,70,846.7359029336907,109560,838.5855512703147,1.3448640459148429
4,65,852.5014761012727,101844,838.5855512703147,1.3448640459148429
4,60,858.9094312837801,94128,838.5855512703147,1.3448640459148429
4,55,870.7335446711766,86405,838.5855512703147,1.3448640459148429
4,50,885.3314695811456,78688,838.5855512703147,1.3448640459148429
4,45,887.5701369164793,70972,838.5855512703147,1.3448640459148429
4,40,903.804024319121,63256,838.5855512703147,1.3448640459148429
4,35,930.3438398060296,55540,838.5855512703147,1.3448640459148429
4,30,938.2114874213472,47817,838.5855512703147,1.3448640459148429
4,25,981.5590709786989,40101,838.5855512703147,1.3448640459148429
4,20,1027.5323967985348,32384,838.5855512703147,1.3448640459148429
4,15,1056.5362359689243,24668,838.5855512703147,1.3448640459148429
4,10,1090.226555767314,16945,838.5855512703147,1.3448640459148429
4,5,1127.783557327124,9229,838.5855512703147,1.3448640459148429
5,80,838.5857830002874,125000,838.5857830002874,1.3448693188198575
5,75,840.3743267800171,117276,838.5857830002874,1.3448693188198575
5,70,846.7355820939338,109560,838.5857830002874,1.3448693188198575
5,65,852.501432258488,101844,838.5857830002874,1.3448693188198575
