user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
0,billiards,model,adaptive,55.223212889,0.985,3.4016901280000003
1,billiards,model,adaptive,649.1374938360162,0.4124748490945674,30.960063939637827
0,billiards,static,5,827.7751775209999,0.999,2.272682826
1,billiards,static,5,863.2202905900001,0.81,2.9325524450000002
0,billiards,static,10,512.107333152,0.997,2.28110076
1,billiards,static,10,629.859861755,0.774,3.6615524450000003
0,billiards,static,15,367.088165314,0.996,2.299738037
1,billiards,static,15,566.1304437690001,0.703,6.4151869779999995
0,billiards,static,20,282.335359814,0.994,2.3063867780000002
1,billiards,static,20,508.80443665000007,0.7,7.1654741920000005
0,billiards,static,25,220.352352122,0.999,2.7705075069999996
1,billiards,static,25,518.0441122110001,0.639,13.396661419
0,billiards,static,30,177.432182754,1.0,2.7755604080000005
1,billiards,static,30,498.30701281700004,0.632,12.101538254
0,billiards,static,35,147.510169114,0.998,2.802751552
1,billiards,static,35,512.943790956,0.594,11.446057838
0,billiards,static,40,123.95827019000001,0.997,2.816144266
1,billiards,static,40,424.78157675837565,0.6730964467005076,7.705062811167513
0,billiards,static,45,103.58445522900001,0.998,2.820482884
1,billiards,static,45,473.27672977435907,0.6082051282051282,8.722828132307692
0,billiards,static,50,86.945360969,0.999,2.842431976
1,billiards,static,50,484.02216586842115,0.5870445344129555,10.627405
0,billiards,static,55,76.03326444599999,0.997,3.2961904910000004
1,billiards,static,55,481.82568176100636,0.5817610062893082,9.530843843815513
0,billiards,static,60,70.27076977700001,0.992,3.3284730200000006
1,billiards,static,60,468.44016991701244,0.5892116182572614,9.305689816390041
0,billiards,static,65,60.42791437100001,0.993,3.347591976
1,billiards,static,65,510.3082354891193,0.5419689119170984,7.965848113989637
0,billiards,static,70,55.00015259,0.991,3.3648256730000004
1,billiards,static,70,503.93199251157904,0.5442105263157895,9.010332482105264
0,billiards,static,75,48.698331574,0.991,3.38206747
1,billiards,static,75,561.7082121299255,0.483493077742279,7.736224359957401
0,billiards,static,80,40.191906041,0.994,3.803044774
1,billiards,static,80,529.1759593900863,0.5129310344827587,7.795834015086207
